Time,RPM,MAP,TPS,AFR,Lambda,IAT,CLT,Ign Adv,Inj PW,Battery V,Boost psi
15.5,894,36.5,3.6,14.66,0.997,33.2,93.6,12.7,2.02,13.82,0
15.55,883,37.7,2.6,14.76,1.004,33.0,93.5,12.4,1.87,13.78,0
15.6,891,37.4,2.3,14.76,1.004,33.4,93.4,11.8,2.04,13.81,0
15.65,883,37.3,2.2,14.7,1.0,33.7,93.5,11.8,1.76,13.8,0
15.7,902,37.8,1.4,14.9,1.014,33.3,93.3,11.5,2.06,13.79,0
15.75,908,36.8,2.8,14.83,1.009,34.0,93.6,11.9,2.1,13.75,0
15.8,895,37.7,2.7,14.87,1.012,34.0,93.6,12.5,1.86,13.81,0
15.85,887,37.8,2.7,14.73,1.002,33.4,93.5,12.2,1.89,13.84,0
15.9,871,36.4,2.5,14.78,1.005,33.2,93.6,12.5,2.11,13.82,0
15.95,850,37.0,3.4,14.58,0.992,33.7,93.4,12.9,1.68,13.79,0
16.0,879,37.4,2.9,15.01,1.021,34.0,93.6,12.3,1.9,13.81,0
16.05,814,36.6,2.7,14.63,0.996,33.1,94.3,11.9,1.95,13.85,0
16.1,877,37.5,3.4,14.57,0.991,33.9,93.9,12.9,1.77,13.82,0
16.15,848,36.4,2.5,14.59,0.992,33.5,93.9,11.1,1.77,13.93,0
16.2,882,35.6,2.0,14.86,1.011,33.8,94.0,12.4,1.94,13.91,0
16.25,868,37.3,2.4,14.63,0.995,33.5,94.0,11.1,1.97,13.8,0
16.3,889,37.9,1.9,14.46,0.983,34.0,93.7,12.6,1.93,13.83,0
16.35,872,37.2,2.5,14.95,1.017,33.7,94.0,11.9,2.07,13.91,0
16.4,852,36.0,1.2,14.6,0.993,33.6,94.1,11.7,1.85,13.85,0
16.45,880,36.0,3.4,14.33,0.975,33.8,93.4,13.4,1.93,13.72,0
16.5,871,33.1,2.2,14.56,0.99,33.9,94.4,12.7,1.97,13.84,0
16.55,887,38.1,2.9,14.5,0.986,33.9,93.8,11.5,1.88,13.81,0
16.6,858,38.0,2.4,14.7,1.0,34.1,93.7,12.0,1.67,13.75,0
16.65,870,37.7,2.6,14.84,1.01,33.7,94.2,11.7,1.91,13.84,0
16.7,852,37.2,2.5,14.68,0.999,33.9,93.6,12.5,1.99,13.81,0
16.75,851,34.8,1.5,14.66,0.997,33.8,94.0,12.0,1.92,13.78,0
16.8,862,37.3,2.3,14.92,1.015,33.9,94.1,12.0,1.76,13.79,0
16.85,857,34.5,1.2,14.78,1.005,34.1,93.8,12.3,1.78,13.74,0
16.9,852,36.9,2.1,14.81,1.007,33.9,94.2,13.0,2.0,13.72,0
16.95,851,37.6,2.5,14.82,1.008,34.2,94.0,13.2,1.84,13.85,0
